sub.ID	Longtitude	Latitude	Region
1	-3.260397	6.906417	Moyen-Comoé
2	-3.632290	6.907771	Moyen-Comoé
3	-3.397551	6.426104	Moyen-Comoé
4	-3.662953	6.660800	Moyen-Comoé
5	-3.440788	6.937723	Moyen-Comoé
6	-3.291995	6.328551	Moyen-Comoé
7	-3.366372	7.182663	Moyen-Comoé
8	-3.498494	7.166416	Moyen-Comoé
9	-3.149608	7.015214	Moyen-Comoé
10	-3.787625	6.209023	Agnéby
11	-3.953336	5.947493	Agnéby
12	-4.023325	6.321925	Agnéby
13	-3.839996	6.472760	Agnéby
14	-4.018499	5.876154	Agnéby
15	-3.800610	5.946270	Agnéby
16	-3.570096	6.069357	Agnéby
17	-4.344698	6.077307	Agnéby
18	-4.513142	5.846961	Agnéby
19	-4.105984	6.101675	Agnéby
20	-4.400224	6.194517	Agnéby
21	-4.038918	5.654023	Agnéby
22	-5.723872	7.052564	Marahoué
23	-6.055082	6.602947	Marahoué
24	-5.844579	6.635363	Marahoué
25	-5.636775	6.651568	Marahoué
26	-6.037546	6.896568	Marahoué
27	-5.500270	6.723468	Marahoué
28	-6.111412	7.448124	Marahoué
29	-5.539035	7.657708	Vallée du Bandama
30	-5.606104	7.493205	Vallée du Bandama
31	-5.476948	7.914011	Vallée du Bandama
32	-5.703679	7.806143	Vallée du Bandama
33	-4.315782	8.379720	Vallée du Bandama
34	-4.137540	8.081339	Vallée du Bandama
35	-4.530515	8.018313	Vallée du Bandama
36	-4.375863	7.960166	Vallée du Bandama
37	-4.750311	8.371633	Vallée du Bandama
38	-4.675715	8.731388	Vallée du Bandama
39	-4.938431	7.791673	Vallée du Bandama
40	-4.701989	7.714015	Vallée du Bandama
41	-5.166847	7.838461	Vallée du Bandama
42	-5.277931	7.695516	Vallée du Bandama
43	-5.300993	7.934304	Vallée du Bandama
44	-5.102958	7.457994	Vallée du Bandama
45	-4.908034	8.106257	Vallée du Bandama
46	-5.232071	8.319269	Vallée du Bandama
47	-5.598895	8.725664	Vallée du Bandama
48	-5.181111	9.163139	Vallée du Bandama
49	-5.531590	7.361837	Vallée du Bandama
50	-5.308574	7.450059	Vallée du Bandama
51	-5.645342	7.360556	Vallée du Bandama
52	-5.190957	7.136901	Lacs
53	-5.229103	6.527132	Lacs
54	-5.112736	6.417422	Lacs
55	-5.026409	6.699474	Lacs
56	-5.148486	6.919306	Lacs
57	-4.884319	7.225912	Lacs
58	-5.337015	6.823865	Lacs
59	-3.636521	5.654811	Lagunes
60	-4.002729	5.334637	Lagunes
61	-3.844322	5.357087	Lagunes
62	-3.701841	5.401422	Lagunes
63	-4.242893	5.414191	Lagunes
64	-4.066367	5.517012	Lagunes
65	-4.559908	5.238031	Lagunes
66	-4.535666	5.406788	Lagunes
67	-4.541333	5.657780	Lagunes
68	-4.998122	5.365156	Lagunes
69	-4.754623	5.984212	Lagunes
70	-5.072439	6.204175	Lagunes
71	-7.136376	7.570488	Dix-Huit Montagnes
72	-7.289982	7.673955	Dix-Huit Montagnes
73	-7.183199	7.316389	Dix-Huit Montagnes
74	-7.344393	7.405325	Dix-Huit Montagnes
75	-7.590199	7.451152	Dix-Huit Montagnes
76	-7.465907	7.267746	Dix-Huit Montagnes
77	-7.622609	7.142829	Dix-Huit Montagnes
78	-7.809244	7.291920	Dix-Huit Montagnes
79	-8.177766	6.958076	Dix-Huit Montagnes
80	-8.291545	6.722375	Dix-Huit Montagnes
81	-7.396248	7.142536	Moyen-Cavally
82	-7.475430	7.003247	Moyen-Cavally
83	-7.398694	7.251394	Dix-Huit Montagnes
84	-8.184913	7.423305	Dix-Huit Montagnes
85	-7.982719	7.195188	Dix-Huit Montagnes
86	-7.199843	7.074423	Moyen-Cavally
87	-7.948533	7.868612	Dix-Huit Montagnes
88	-5.723696	9.355952	Savanes
89	-5.698190	9.562844	Savanes
90	-5.991164	9.618970	Savanes
91	-5.836502	8.866821	Savanes
92	-5.935291	10.036309	Savanes
93	-6.103258	9.147285	Savanes
94	-5.395215	9.534156	Savanes
95	-5.428445	9.297756	Savanes
96	-5.573247	9.075830	Savanes
97	-6.409845	10.464733	Savanes
98	-6.605562	10.494488	Savanes
99	-6.267314	10.360861	Savanes
100	-6.648476	9.828754	Savanes
101	-6.499432	9.395949	Savanes
102	-6.219072	9.834516	Savanes
103	-6.373818	10.043771	Savanes
104	-6.543058	10.023793	Savanes
105	-4.942000	9.548070	Savanes
106	-5.183377	9.715982	Savanes
107	-4.400180	9.150170	Savanes
108	-5.178596	10.085256	Savanes
109	-5.499455	10.016412	Savanes
110	-5.647915	10.288608	Savanes
111	-7.242339	8.223869	Bafing
112	-7.642906	7.987517	Bafing
113	-7.401403	8.526491	Bafing
114	-7.776136	8.902044	Bafing
115	-5.871374	5.312645	Bas-Sassandra
116	-6.190251	5.218782	Bas-Sassandra
117	-6.516798	5.909302	Bas-Sassandra
118	-6.375626	5.687274	Bas-Sassandra
119	-7.421456	4.591678	Bas-Sassandra
120	-7.290662	5.209427	Bas-Sassandra
121	-7.030853	4.860817	Bas-Sassandra
122	-6.672368	5.087328	Bas-Sassandra
123	-6.774255	5.633484	Bas-Sassandra
124	-6.953711	6.186966	Bas-Sassandra
125	-6.096103	5.585409	Bas-Sassandra
126	-6.583677	6.143608	Bas-Sassandra
127	-7.053202	10.102703	Denguélé
128	-7.509028	10.248889	Denguélé
129	-7.270937	9.036604	Denguélé
130	-7.575833	9.095466	Denguélé
131	-7.613464	9.888806	Denguélé
132	-7.486918	9.874800	Denguélé
133	-6.998730	9.679207	Denguélé
134	-7.329525	9.525759	Denguélé
135	-7.036917	9.255995	Denguélé
136	-7.942976	9.508245	Denguélé
137	-5.924879	5.872124	Fromager
138	-6.020944	6.013225	Fromager
139	-5.900705	6.291553	Fromager
140	-6.246480	6.173249	Fromager
141	-5.954574	6.447110	Fromager
142	-5.620666	6.279958	Fromager
143	-5.465715	6.442563	Fromager
144	-6.439960	6.914402	Haut-Sassandra
145	-6.593350	6.803121	Haut-Sassandra
146	-6.868204	6.847144	Haut-Sassandra
147	-6.689813	6.998953	Haut-Sassandra
148	-6.234244	7.109681	Haut-Sassandra
149	-6.248125	6.716154	Haut-Sassandra
150	-6.607035	6.419355	Haut-Sassandra
151	-6.286847	6.492885	Haut-Sassandra
152	-6.493940	6.639638	Haut-Sassandra
153	-6.859862	6.521636	Haut-Sassandra
154	-6.511205	7.506542	Haut-Sassandra
155	-6.832057	7.529964	Haut-Sassandra
156	-6.903879	7.207536	Haut-Sassandra
157	-8.406591	6.499877	Moyen-Cavally
158	-7.185864	6.487173	Moyen-Cavally
159	-7.375065	6.012926	Moyen-Cavally
160	-8.017432	6.587344	Moyen-Cavally
161	-8.517804	6.510572	Moyen-Cavally
162	-8.432213	6.589037	Moyen-Cavally
163	-8.300833	6.486541	Moyen-Cavally
164	-7.190068	6.880202	Moyen-Cavally
