department	longitude	latitude
Mankono	-6.13178014755	8.02462005615
Aboisso	-3.20235395432	5.47637987137
Bondoukou	-2.79294991493	8.02894973755
Agnibilékrou	-3.09192991257	7.18748998642
Biankouma	-7.61377000809	7.73908996582
Lakota	-5.68521022797	5.86943006516
Bouaké	-5.03355979919	7.68120002747
Daloa	-6.44149017334	6.88402986526
Sakassou	-5.39646673203	7.43642377853
Agboville	-4.2221198082	5.92741012573
Séguéla	-6.6659097671	7.95867013931
Divo	-5.35932016373	5.84361982346
Guiglo	-7.41861009598	6.56368017197
Danané	-8.15637969971	7.25993013382
San-Pédro	-6.65805006027	4.75668001175
Grand-Lahou	-4.97055006027	5.20729017258
Boundiali	-6.4106798172	9.5272397995
Sassandra	-6.07215023041	5.24012994766
Gagnoa	-5.78136014938	6.03324985504
Zuénoula	-6.00473022461	7.32043981552
Sinfra	-5.9201798439	6.61924982071
Touba	-7.63101005554	8.38955593109
Bangolo	-7.48640012741	7.01232004166
Béoumi	-5.57704019546	7.67022991180
Tabou	-7.36030006409	4.42054986954
Issia	-6.62709999084	6.48671007156
Yamoussoukro	-5.25717020035	6.80481004715
Man	-7.54345989227	7.40249013901
Abengourou	-3.49126005173	6.7286901474
Toumodi	-5.00845003128	6.48290300369
Tengréla	-6.41310358047	10.451965332
Tanda	-3.23003005981	7.6433801651
Vavoua	-6.48378992081	7.37572002411
Katiola	-5.10774993896	8.18671035767
Tiassalé	-4.83538007736	5.88776016235
Dimbokro	-4.71602010727	6.65325021744
Duékoué	-7.3341097832	6.7421498299
Ferkessédougou	-5.20345020294	9.59127044678
Bouaflé	-5.74834918976	6.97802114487
Mbahiakro	-4.38197994232	7.4574098587
Oumé	-5.42409801483	6.37579202652
Bongouanou	-4.20406007767	6.65175008774
Odienné	-7.63805007935	9.49880981445
Daoukro	-3.95931005478	7.051653862
Abidjan	-4.02593994141	5.32560014725
Soubré	-6.58921003342	5.86055994034
Bouna	-2.94566011429	9.26056957245
Korhogo	-5.77245998383	9.39655017853
Dabakala	-4.33289003372	8.30862045288
Adzopé	-3.86382603645	6.09818601608
