Pole	Poverty Rates	Urban Poverty Rates	Rural Poverty Rates	Total Annual Income	Urban Annual Income	Rural Aunnal Income	U/R ratio	Gini
Centre-North	57	47.4	66.3	281660	341985	223211	1.53	0.348
Centre-West	62.9	40	70.7	243236	336245	211649	1.59	0.41
North-East	54.7	25.9	59.2	301966	454147	278544	1.63	0.411
North	77.3	53.5	85.1	191540	299275	156302	1.91	0.375
West	63.2	48.1	67.8	256319	313918	238438	1.32	0.378
South	44.6	25.1	50.9	334147	425622	304734	1.4	0.369
South-West	45.5	26.6	49.6	348247	470152	322168	1.46	0.363
Centre	56	35.6	65.7	287080	37504	246122	1.52	0.371
Centre-East	53.7	29.8	63.1	289126	402295	244741	1.64	0.377
North-West	57.9	45.8	60.4	284393	342719	271895	1.26	0.423
