region	longitude	latitude
N'zi-Comoé	-3.95580005646	7.05249977112
Fromager	-5.93330001831	6.13329982758
Denguélé	-7.51560020447	9.41359996796
Bafing	-7.68330001831	8.28330039978
Moyen-Cavally	-7.48829984665	6.15719985962
Moyen-Comoé	-3.44359993935	6.32690000534
Sud-Comoé	-3.21440005302	5.46750020981
Worodougou	-6.18970012665	8.05860042572
Bas-Sassandra	-6.61670017242	4.73330020905
Lagunes	-4.41470003128	5.30940008163
Dix-Huit Montagnes	-7.51666688919	7.38333320618
Agnéby	-4.31059980392	6.07000017166
Vallée du Bandama	-5.2432999611	8.66670036316
Lacs	-5.16666698456	7.16666698456
Savanes	-5.61666679382	9.41666698456
Haut-Sassandra	-6.46666717529	6.86666679382
Sud-Bandama	-5.53389978409	5.52810001373
Zanzan	-3.17140007019	7.86059999466
Marahoué	-5.92999982834	6.57999992371
