"PID","ID_0","ISO","NAME_0","ID_1","NAME_1","NL_NAME_1","VARNAME_1","TYPE_1","ENGTYPE_1"
959,56,"CIV","Côte d'Ivoire",1,"Agnéby","","Agnébi","Région","Region"
960,56,"CIV","Côte d'Ivoire",2,"Bafing","","","Région","Region"
961,56,"CIV","Côte d'Ivoire",3,"Bas-Sassandra","","Cavally inférieur","Région","Region"
962,56,"CIV","Côte d'Ivoire",4,"Denguélé","","","Région","Region"
963,56,"CIV","Côte d'Ivoire",5,"Dix-Huit Montagnes","","","Région","Region"
964,56,"CIV","Côte d'Ivoire",6,"Fromager","","","Région","Region"
965,56,"CIV","Côte d'Ivoire",7,"Haut-Sassandra","","Sassandra supérieur","Région","Region"
966,56,"CIV","Côte d'Ivoire",8,"Lacs","","","Région","Region"
967,56,"CIV","Côte d'Ivoire",9,"Lagunes","","","Région","Region"
968,56,"CIV","Côte d'Ivoire",10,"Marahoué","","","Région","Region"
969,56,"CIV","Côte d'Ivoire",11,"Moyen-Cavally","","","Région","Region"
970,56,"CIV","Côte d'Ivoire",12,"Moyen-Comoé","","Comoé central","Région","Region"
971,56,"CIV","Côte d'Ivoire",13,"N'zi-Comoé","","","Région","Region"
972,56,"CIV","Côte d'Ivoire",14,"Savanes","","","Région","Region"
973,56,"CIV","Côte d'Ivoire",15,"Sud-Bandama","","","Région","Region"
974,56,"CIV","Côte d'Ivoire",16,"Sud-Comoé","","","Région","Region"
975,56,"CIV","Côte d'Ivoire",17,"Vallée du Bandama","","","Région","Region"
976,56,"CIV","Côte d'Ivoire",18,"Worodougou","","","Région","Region"
977,56,"CIV","Côte d'Ivoire",19,"Zanzan","","","Région","Region"
