"PID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","NL_NAME_2","VARNAME_2","TYPE_2","ENGTYPE_2"
13140,56,"CIV","Côte d'Ivoire",1,"Agnéby",1,"Adzopé","","","Département","Department"
13141,56,"CIV","Côte d'Ivoire",1,"Agnéby",2,"Agboville","","","Département","Department"
13142,56,"CIV","Côte d'Ivoire",2,"Bafing",3,"Touba","","","Département","Department"
13143,56,"CIV","Côte d'Ivoire",3,"Bas-Sassandra",4,"San-Pédro","","","Département","Department"
13144,56,"CIV","Côte d'Ivoire",3,"Bas-Sassandra",5,"Sassandra","","","Département","Department"
13145,56,"CIV","Côte d'Ivoire",3,"Bas-Sassandra",6,"Soubré","","","Département","Department"
13146,56,"CIV","Côte d'Ivoire",3,"Bas-Sassandra",7,"Tabou","","","Département","Department"
13147,56,"CIV","Côte d'Ivoire",4,"Denguélé",8,"Odienné","","","Département","Department"
13148,56,"CIV","Côte d'Ivoire",5,"Dix-Huit Montagnes",9,"Bangolo","","","Département","Department"
13149,56,"CIV","Côte d'Ivoire",5,"Dix-Huit Montagnes",10,"Biankouma","","","Département","Department"
13150,56,"CIV","Côte d'Ivoire",5,"Dix-Huit Montagnes",11,"Danané","","","Département","Department"
13151,56,"CIV","Côte d'Ivoire",5,"Dix-Huit Montagnes",12,"Man","","","Département","Department"
13152,56,"CIV","Côte d'Ivoire",6,"Fromager",13,"Gagnoa","","","Département","Department"
13153,56,"CIV","Côte d'Ivoire",6,"Fromager",14,"Oumé","","","Département","Department"
13154,56,"CIV","Côte d'Ivoire",7,"Haut-Sassandra",15,"Daloa","","","Département","Department"
13155,56,"CIV","Côte d'Ivoire",7,"Haut-Sassandra",16,"Issia","","","Département","Department"
13156,56,"CIV","Côte d'Ivoire",7,"Haut-Sassandra",17,"Vavoua","","","Département","Department"
13157,56,"CIV","Côte d'Ivoire",8,"Lacs",18,"Toumodi","","","Département","Department"
13158,56,"CIV","Côte d'Ivoire",8,"Lacs",19,"Yamoussoukro","","","Département","Department"
13159,56,"CIV","Côte d'Ivoire",9,"Lagunes",20,"Abidjan","","","Département","Department"
13160,56,"CIV","Côte d'Ivoire",9,"Lagunes",21,"Grand-Lahou","","","Département","Department"
13161,56,"CIV","Côte d'Ivoire",9,"Lagunes",22,"Tiassalé","","","Département","Department"
13162,56,"CIV","Côte d'Ivoire",10,"Marahoué",23,"Bouaflé","","","Département","Department"
13163,56,"CIV","Côte d'Ivoire",10,"Marahoué",24,"Sinfra","","","Département","Department"
13164,56,"CIV","Côte d'Ivoire",10,"Marahoué",25,"Zuénoula","","","Département","Department"
13165,56,"CIV","Côte d'Ivoire",11,"Moyen-Cavally",26,"Duékoué","","","Département","Department"
13166,56,"CIV","Côte d'Ivoire",11,"Moyen-Cavally",27,"Guiglo","","","Département","Department"
13167,56,"CIV","Côte d'Ivoire",12,"Moyen-Comoé",28,"Abengourou","","","Département","Department"
13168,56,"CIV","Côte d'Ivoire",12,"Moyen-Comoé",29,"Agnibilékrou","","Agnibilekro","Département","Department"
13169,56,"CIV","Côte d'Ivoire",13,"N'zi-Comoé",30,"Bongouanou","","","Département","Department"
13170,56,"CIV","Côte d'Ivoire",13,"N'zi-Comoé",31,"Daoukro","","","Département","Department"
13171,56,"CIV","Côte d'Ivoire",13,"N'zi-Comoé",32,"Dimbokro","","","Département","Department"
13172,56,"CIV","Côte d'Ivoire",13,"N'zi-Comoé",33,"Mbahiakro","","M'bahiakro","Département","Department"
13173,56,"CIV","Côte d'Ivoire",14,"Savanes",34,"Boundiali","","","Département","Department"
13174,56,"CIV","Côte d'Ivoire",14,"Savanes",35,"Ferkessédougou","","","Département","Department"
13175,56,"CIV","Côte d'Ivoire",14,"Savanes",36,"Korhogo","","","Département","Department"
13176,56,"CIV","Côte d'Ivoire",14,"Savanes",37,"Tengréla","","Tingréla","Département","Department"
13177,56,"CIV","Côte d'Ivoire",15,"Sud-Bandama",38,"Divo","","","Département","Department"
13178,56,"CIV","Côte d'Ivoire",15,"Sud-Bandama",39,"Lakota","","","Département","Department"
13179,56,"CIV","Côte d'Ivoire",16,"Sud-Comoé",40,"Aboisso","","","Département","Department"
13180,56,"CIV","Côte d'Ivoire",17,"Vallée du Bandama",41,"Béoumi","","","Département","Department"
13181,56,"CIV","Côte d'Ivoire",17,"Vallée du Bandama",42,"Bouaké","","","Département","Department"
13182,56,"CIV","Côte d'Ivoire",17,"Vallée du Bandama",43,"Dabakala","","","Département","Department"
13183,56,"CIV","Côte d'Ivoire",17,"Vallée du Bandama",44,"Katiola","","","Département","Department"
13184,56,"CIV","Côte d'Ivoire",17,"Vallée du Bandama",45,"Sakassou","","Sakasso","Département","Department"
13185,56,"CIV","Côte d'Ivoire",18,"Worodougou",46,"Mankono","","","Département","Department"
13186,56,"CIV","Côte d'Ivoire",18,"Worodougou",47,"Séguéla","","","Département","Department"
13187,56,"CIV","Côte d'Ivoire",19,"Zanzan",48,"Bondoukou","","","Département","Department"
13188,56,"CIV","Côte d'Ivoire",19,"Zanzan",49,"Bouna","","","Département","Department"
13189,56,"CIV","Côte d'Ivoire",19,"Zanzan",50,"Tanda","","","Département","Department"
