fromNode,fromLon,fromLat,toNode,toLon,toLat,weight
Mankono,-6.18272,8.05669,Aboisso,-3.21777,5.46663,18086
Mankono,-6.18272,8.05669,Abengourou,-3.48846,6.73033,32638
Mankono,-6.18272,8.05669,Bondoukou,-2.79431,8.03786,48871
Mankono,-6.18272,8.05669,Agnibilékrou,-3.20092,7.12627,39437
Mankono,-6.18272,8.05669,Biankouma,-7.61199,7.7302,5610
Mankono,-6.18272,8.05669,Lakota,-5.6824,5.85397,25429
Mankono,-6.18272,8.05669,Bouaké,-5.03057,7.69053,55392
Mankono,-6.18272,8.05669,Daloa,-6.44747,6.88647,54256
Mankono,-6.18272,8.05669,Sakassou,-5.29125,7.45502,1557
Mankono,-6.18272,8.05669,Agboville,-4.23258,5.94306,21439
Mankono,-6.18272,8.05669,Séguéla,-6.66878,7.9727,14416
Mankono,-6.18272,8.05669,Divo,-5.3488,5.83568,21019
Mankono,-6.18272,8.05669,Guiglo,-7.50574,6.54414,6752
Mankono,-6.18272,8.05669,Danané,-8.15638,7.25993,4863
Mankono,-6.18272,8.05669,San-Pédro,-6.64697,4.78201,22592
Mankono,-6.18272,8.05669,Grand-Lahou,-5.01351,5.27612,2372
Mankono,-6.18272,8.05669,Boundiali,-6.48503,9.52319,10326
Mankono,-6.18272,8.05669,Sassandra,-6.07215,5.24013,9538
Mankono,-6.18272,8.05669,Gagnoa,-5.94911,6.12607,73566
Mankono,-6.18272,8.05669,Zuénoula,-6.04692,7.42862,3795
Mankono,-6.18272,8.05669,Sinfra,-5.60494,6.65109,6529
Mankono,-6.18272,8.05669,Touba,-7.6801,8.28373,10699
Mankono,-6.18272,8.05669,Tanda,-3.16623,7.79708,41960
Mankono,-6.18272,8.05669,Béoumi,-5.57956,7.67321,6211
Mankono,-6.18272,8.05669,Mbahiakro,-4.33814,7.4528,8423
Mankono,-6.18272,8.05669,Issia,-6.58969,6.48765,21373
Mankono,-6.18272,8.05669,Yamoussoukro,-5.28043,6.82171,42604
Mankono,-6.18272,8.05669,Man,-7.55206,7.40854,35803
Mankono,-6.18272,8.05669,Tabou,-7.35449,4.42302,2394
Mankono,-6.18272,8.05669,Toumodi,-5.01937,6.55231,11394
Mankono,-6.18272,8.05669,Tengréla,-6.40946,10.48666,8848
Mankono,-6.18272,8.05669,Bangolo,-7.48992,7.01069,1221
Mankono,-6.18272,8.05669,Vavoua,-6.52003,7.60752,15088
Mankono,-6.18272,8.05669,Katiola,-5.10431,8.14015,10799
