fromNode,fromLon,fromLat,toNode,toLon,toLat,weight
44,-3.204848,7.127898,44,-3.204848,7.127898,1.0
268,-7.004209,6.258240,268,-7.004209,6.258240,0.916979171969
956,-6.084862,4.974524,956,-6.084862,4.974524,0.904139587587
1121,-6.478066,7.375988,1121,-6.478066,7.375988,0.856559594714
999,-7.080512,4.674656,999,-7.080512,4.674656,0.774328749922
697,-7.549322,7.411446,697,-7.549322,7.411446,0.742311803933
985,-5.909124,6.627758,985,-5.909124,6.627758,0.648312282825
239,-6.051272,6.924573,239,-6.051272,6.924573,0.645769818869
230,-2.801975,8.042674,230,-2.801975,8.042674,0.62954499605
860,-5.417676,6.385409,860,-5.417676,6.385409,0.622423834492
251,-5.031158,7.681516,251,-5.031158,7.681516,0.597549732179
193,-7.619350,7.732864,193,-7.619350,7.732864,0.597369676333
1051,-7.351712,4.408735,1051,-7.351712,4.408735,0.573494836828
555,-6.591126,6.486824,555,-6.591126,6.486824,0.563134555451
667,-6.839484,6.115042,667,-6.839484,6.115042,0.562503888641
1133,-7.028058,6.174261,1133,-7.028058,6.174261,0.558125986301
938,-5.284679,7.451474,938,-5.284679,7.451474,0.545608805579
611,-5.630547,9.453492,611,-5.630547,9.453492,0.544287139111
1186,-8.197300,6.918422,1186,-8.197300,6.918422,0.510034106914
531,-5.304716,6.195294,531,-5.304716,6.195294,0.508753919278
929,-6.910380,5.965207,929,-6.910380,5.965207,0.493224809622
331,-6.450498,6.886308,331,-6.450498,6.886308,0.452876274296
42,-4.217436,5.928619,42,-4.217436,5.928619,0.449419390601
367,-4.705146,6.647368,367,-4.705146,6.647368,0.448526652979
219,-4.541440,7.044252,219,-4.541440,7.044252,0.441166045427
508,-6.544046,6.120313,508,-6.544046,6.120313,0.439410736608
1009,-3.186495,6.087522,1009,-3.186495,6.087522,0.437767609179
91,-6.918692,7.662726,91,-6.918692,7.662726,0.43152315933
804,-3.273700,6.655242,804,-3.273700,6.655242,0.422591069607
796,-7.343679,5.188305,796,-7.343679,5.188305,0.413773989378
333,-8.152263,7.259263,333,-8.152263,7.259263,0.410401948751
1058,-3.149886,7.821147,1058,-3.149886,7.821147,0.404655244904
