fromNode,fromLon,fromLat,toNode,toLon,toLat,weight
61,-3.844322,5.357087,60,-4.002729,5.334637,1.0
60,-4.002729,5.334637,61,-3.844322,5.357087,0.998085374803
64,-4.066367,5.517012,60,-4.002729,5.334637,0.529303990039
60,-4.002729,5.334637,64,-4.066367,5.517012,0.502271659094
123,-6.774255,5.633484,117,-6.516798,5.909302,0.499111950329
117,-6.516798,5.909302,123,-6.774255,5.633484,0.495830206882
60,-4.002729,5.334637,63,-4.242893,5.414191,0.365507062345
63,-4.242893,5.414191,60,-4.002729,5.334637,0.363628717729
60,-4.002729,5.334637,198,-3.768528,5.238152,0.344911236261
198,-3.768528,5.238152,60,-4.002729,5.334637,0.342920751668
159,-7.375065,6.012926,237,-7.618685,6.482504,0.271997163518
237,-7.618685,6.482504,159,-7.375065,6.012926,0.27193449706
138,-6.020944,6.013225,140,-6.246480,6.173249,0.15500218508
140,-6.246480,6.173249,138,-6.020944,6.013225,0.153633417713
116,-6.190251,5.218782,122,-6.672368,5.087328,0.138530801389
122,-6.672368,5.087328,116,-6.190251,5.218782,0.138398872004
58,-5.337015,6.823865,22,-5.723872,7.052564,0.129021990979
22,-5.723872,7.052564,58,-5.337015,6.823865,0.126737963505
192,-3.526649,5.353724,190,-3.281498,5.460473,0.122987870742
190,-3.281498,5.460473,192,-3.526649,5.353724,0.122336469405
122,-6.672368,5.087328,123,-6.774255,5.633484,0.118358798453
123,-6.774255,5.633484,122,-6.672368,5.087328,0.117446836581
60,-4.002729,5.334637,69,-4.754623,5.984212,0.111604013952
117,-6.516798,5.909302,118,-6.375626,5.687274,0.109613529358
118,-6.375626,5.687274,117,-6.516798,5.909302,0.108640550146
58,-5.337015,6.823865,56,-5.148486,6.919306,0.104837685629
56,-5.148486,6.919306,58,-5.337015,6.823865,0.10350684796
69,-4.754623,5.984212,60,-4.002729,5.334637,0.0992521252999
198,-3.768528,5.238152,192,-3.526649,5.353724,0.0987227586434
66,-4.535666,5.406788,60,-4.002729,5.334637,0.0977728670729
66,-4.535666,5.406788,63,-4.242893,5.414191,0.0972566933549
63,-4.242893,5.414191,66,-4.535666,5.406788,0.0958450489376
192,-3.526649,5.353724,60,-4.002729,5.334637,0.0955976813411
60,-4.002729,5.334637,66,-4.535666,5.406788,0.0955745936987
233,-3.925581,6.769287,172,-4.215866,6.706639,0.0951128408519
192,-3.526649,5.353724,198,-3.768528,5.238152,0.0948621750208
60,-4.002729,5.334637,192,-3.526649,5.353724,0.0940541075389
250,-4.968035,6.544904,58,-5.337015,6.823865,0.0926556560601
172,-4.215866,6.706639,233,-3.925581,6.769287,0.0918475885782
182,-5.251963,5.855107,186,-5.231252,6.136609,0.0862521335455
190,-3.281498,5.460473,194,-2.960406,5.454036,0.0862356423724
194,-2.960406,5.454036,190,-3.281498,5.460473,0.0859816783067
186,-5.231252,6.136609,182,-5.251963,5.855107,0.0857260651236
117,-6.516798,5.909302,126,-6.583677,6.143608,0.084972418513
126,-6.583677,6.143608,117,-6.516798,5.909302,0.0847267000338
140,-6.246480,6.173249,150,-6.607035,6.419355,0.0843886309853
150,-6.607035,6.419355,140,-6.246480,6.173249,0.0836696158381
143,-5.465715,6.442563,142,-5.620666,6.279958,0.0831237580085
142,-5.620666,6.279958,143,-5.465715,6.442563,0.0829852321545
140,-6.246480,6.173249,117,-6.516798,5.909302,0.0819974108858
116,-6.190251,5.218782,125,-6.096103,5.585409,0.08198256883
125,-6.096103,5.585409,116,-6.190251,5.218782,0.0818555867972
117,-6.516798,5.909302,140,-6.246480,6.173249,0.0816148156699
115,-5.871374,5.312645,185,-5.640117,5.324263,0.0811745013482
185,-5.640117,5.324263,115,-5.871374,5.312645,0.0809419758074
58,-5.337015,6.823865,250,-4.968035,6.544904,0.0807688184899
150,-6.607035,6.419355,153,-6.859862,6.521636,0.0798354180925
